element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
way,781424959,,parking_space,"POLYGON ((11.5849385 48.191612, 11.5846152 48.191609, 11.5846163 48.1915208, 11.5849404 48.1915238, 11.5849385 48.191612))",,,"[7295583344, 7295583343, 7295583342, 7295583341, 7295583344]",,,,,,,,,,,,,,,,,,,,,
way,781424960,,parking_space,"POLYGON ((11.5849422 48.1914694, 11.584617 48.1914669, 11.5846181 48.1913788, 11.5849438 48.1913813, 11.5849422 48.1914694))",,,"[7295583348, 7295583347, 7295583346, 7295583345, 7295583348]",,,,,,,,,,,,,,,,,,,,,
way,795682542,customers,parking_space,"POLYGON ((11.5859131 48.1928498, 11.5859142 48.1928017, 11.5857207 48.1927997, 11.5857196 48.1928479, 11.5859131 48.1928498))",,,"[7442366216, 7442366213, 7442366214, 7442366215, 7442366216]",,,,,,,,,,,,,,,,,,,,,
way,795682543,customers,parking_space,"POLYGON ((11.5859099 48.1929902, 11.5859122 48.1928917, 11.5856838 48.1928894, 11.5856816 48.1929879, 11.5859099 48.1929902))",,,"[7442366220, 7442366217, 7442366218, 7442366219, 7442366220]",,,,,,,,,,,,,,,,,,,,,
way,795682544,customers,parking_space,"POLYGON ((11.5853827 48.1929002, 11.5855297 48.1929023, 11.5855636 48.1929443, 11.5854156 48.1929422, 11.5853827 48.1929002))",,,"[2127406356, 7442366223, 7442366222, 7442366221, 2127406356]",,,,,,,,,,,,,,,,,,,,,
way,795682546,customers,parking_space,"POLYGON ((11.5850354 48.1929452, 11.5850621 48.1929897, 11.5853486 48.1929937, 11.5853218 48.1929492, 11.5850354 48.1929452))",,,"[7442366227, 7442366225, 7442366226, 390313965, 7442366227]",,,,,,,,,,,,,,,,,,,,,
way,795682547,customers,parking_space,"POLYGON ((11.5847156 48.1929408, 11.5847424 48.1929853, 11.5849825 48.1929886, 11.5849557 48.1929441, 11.5847156 48.1929408))",,,"[390313964, 7442366228, 7442366229, 7442366230, 390313964]",,,,,,,,,,,,,,,,,,,,,
way,795682548,customers,parking_space,"POLYGON ((11.5846014 48.1929571, 11.5846068 48.1927877, 11.5845176 48.1927864, 11.5845122 48.1929558, 11.5846014 48.1929571))",,,"[2465314384, 2465314390, 2465314358, 2465314497, 2465314384]",,,,,,,,,,,,,,,,,,,,,
way,795803611,,parking_space,"POLYGON ((11.5857393 48.1922973, 11.5857381 48.1923422, 11.5859483 48.1923447, 11.5859495 48.1922998, 11.5859507 48.1922548, 11.5857055 48.1922519, 11.5857043 48.1922968, 11.5857393 48.1922973))",,13,"[7443393030, 7443393029, 7443393028, 7443393031, 7443393034, 7443393033, 7443393032, 7443393030]",,,,,,,,,,,,,,,,,,,,,
way,795803612,,parking_space,"POLYGON ((11.5857093 48.192153, 11.5857081 48.1921979, 11.5859533 48.1922008, 11.5859545 48.1921559, 11.5859557 48.192111, 11.5858506 48.1921098, 11.5858494 48.1921547, 11.5857794 48.1921538, 11.5857806 48.1921089, 11.5855353 48.192106, 11.5855341 48.1921509, 11.5855329 48.1921958, 11.585638 48.1921971, 11.5856392 48.1921522, 11.5857093 48.192153))",,20,"[7443393037, 7443393036, 7443393035, 7443393042, 7443393046, 7443393044, 7443393043, 7443393041, 7443393040, 7443393045, 7443393047, 7443393048, 7443393039, 7443393038, 7443393037]",,,,,,,,,,,,,,,,,,,,,
way,795803613,,parking_space,"POLYGON ((11.5856436 48.1919626, 11.5856424 48.1920075, 11.5857125 48.1920084, 11.5857137 48.1919635, 11.5859597 48.1919664, 11.5859585 48.1920113, 11.5859573 48.1920562, 11.5855027 48.1920508, 11.5855039 48.1920059, 11.5854339 48.1920051, 11.5854327 48.19205, 11.5852567 48.1920479, 11.5852579 48.192003, 11.5852591 48.1919581, 11.5856436 48.1919626))",,36,"[7443393055, 7443393054, 7443393053, 7443393056, 7443393058, 7443393059, 7443393061, 7443393051, 7443393050, 7443393049, 7443393052, 7443393062, 7443393060, 7443393057, 7443393055]",,,,,,,,,,,,,,,,,,,,,
way,795803614,,parking_space,"POLYGON ((11.5858367 48.1913354, 11.5858379 48.1912905, 11.5857678 48.1912897, 11.5857666 48.1913346, 11.5854149 48.1913304, 11.5854161 48.1912855, 11.5854173 48.1912406, 11.5855581 48.1912423, 11.5855569 48.1912872, 11.585627 48.191288, 11.5856282 48.1912431, 11.5859778 48.1912473, 11.5859766 48.1912922, 11.5859754 48.1913371, 11.5858367 48.1913354))",,28,"[7443393069, 7443393068, 7443393067, 7443393070, 7443393076, 7443393073, 7443393071, 7443393065, 7443393064, 7443393063, 7443393066, 7443393072, 7443393074, 7443393075, 7443393069]",,,,,,,,,,,,,,,,,,,,,
