element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,entrance,geometry,source,access,building,name,description,note,operator,website,wheelchair,check_date,url,nodes,building:levels,roof:levels,roof:shape,building:colour,building:material,roof:colour,roof:material,roof:orientation,service,was:amenity,was:cuisine,was:name,was:website,building:levels:underground,fixme,reg_name,start_date,source:roof:shape,name:wikipedia,height,name:building,phone,source:addr,nohousenumber,owner,wikidata,ele,roof:height,building:part,operator:url,proposed:name,start_date:construction,proposed:roof:shape,construction,building:parts,architect,building:name,building:min_level,ways,type
way,39139496,Stuttgart,DE,15,70565,Karl-Weller-Straße,,,"POLYGON ((9.1098342 48.7176671, 9.1099584 48.7176766, 9.1099763 48.7175747, 9.1098522 48.7175652, 9.1098342 48.7176671))",,,residential,,,,,,,,,"[468422254, 468422256, 468422258, 468422260, 468422254]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39180257,Stuttgart,DE,75,70599,Fraubronnstraße,,,"POLYGON ((9.201294 48.7037236, 9.2012812 48.7036328, 9.2014599 48.703621, 9.2014766 48.7037133, 9.201294 48.7037236))",,,residential,,,,,,,,,"[469337103, 469337106, 469337107, 469337109, 469337103]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39180904,Stuttgart,DE,5,70599,Walbrunnenstraße,,,"POLYGON ((9.2037902 48.7060174, 9.2039745 48.7059929, 9.2039459 48.7058994, 9.2037616 48.705924, 9.2037902 48.7060174))",,,residential,,,,,,,,,"[469342691, 469342696, 469342694, 469342692, 469342691]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39187272,Stuttgart,DE,19,70565,Peterstraße,,,"POLYGON ((9.1088287 48.7163198, 9.1088408 48.7162482, 9.1086959 48.7162376, 9.1086838 48.7163092, 9.1088287 48.7163198))",,,residential,,,,,,,,,"[469406229, 469406232, 469406234, 469406237, 469406229]",1,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39227838,Stuttgart,DE,26,70565,Peterstraße,,,"POLYGON ((9.109156 48.7159758, 9.109159 48.7160982, 9.1093255 48.7160964, 9.1093225 48.715974, 9.109156 48.7159758))",Yahoo,,residential,,,,,,,,,"[469939765, 469939768, 469939767, 469939766, 469939765]",1,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39227889,Stuttgart,DE,36,70565,Merkurstraße,,,"POLYGON ((9.10931 48.714932, 9.1092768 48.7150439, 9.1094508 48.7150664, 9.109484 48.7149545, 9.10931 48.714932))",Yahoo,,residential,,,,,,,,,"[469940001, 469940004, 469940003, 469940002, 469940001]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39227896,Stuttgart,DE,24,70565,Merkurstraße,,,"POLYGON ((9.1091496 48.7139763, 9.1093552 48.7139628, 9.1093402 48.7138631, 9.1091346 48.7138765, 9.1091496 48.7139763))",,,residential,,,,,,,,,"[469940026, 469940027, 469940028, 469940030, 469940026]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39227899,Stuttgart,DE,8,70565,Merkurstraße,,,"POLYGON ((9.1073707 48.714107, 9.1074807 48.7142056, 9.1076615 48.7141178, 9.1075515 48.7140192, 9.1073707 48.714107))",survey,,residential,,,,,,,,,"[469940039, 469940043, 469940041, 469940040, 469940039]",1,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39227905,Stuttgart,DE,,70565,,,,"POLYGON ((9.1087471 48.713597, 9.1087924 48.7137003, 9.1088351 48.7136921, 9.1089057 48.7136786, 9.1089745 48.7136655, 9.1090369 48.7136535, 9.1090975 48.7136419, 9.1091449 48.7136329, 9.1090995 48.7135296, 9.1087471 48.713597))",,,residential,,,,,,,,,"[469940067, 469940073, 2527197314, 2527197316, 2527197317, 2527197319, 7568137764, 469940071, 469940068, 469940067]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39228276,Stuttgart,DE,32,70565,Berghaustraße,,,"POLYGON ((9.1093941 48.7133666, 9.1095443 48.7133013, 9.1094714 48.7132319, 9.1093213 48.7132971, 9.1093941 48.7133666))",,,residential,,,,,,,,,"[469945660, 469945662, 469945663, 469945664, 469945660]",1,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39228292,Stuttgart,DE,49,70565,Schönbuchstraße,,,"POLYGON ((9.1060727 48.7142777, 9.1061924 48.7142111, 9.1060996 48.7141408, 9.1059799 48.7142075, 9.1060727 48.7142777))",,,residential,,,,,,,,,"[469945729, 469945730, 469945732, 469945733, 469945729]",2,0,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
