osmid,y,x,street_count,highway,ref,geometry
521562,50.0534676,8.5690312,3,,,POINT (8.5690312 50.0534676)
521639,50.0543261,8.5759599,3,,,POINT (8.5759599 50.0543261)
521648,50.0519017,8.5594037,3,,,POINT (8.5594037 50.0519017)
521808,50.0521503,8.560281,3,,,POINT (8.560281 50.0521503)
521827,50.0571493,8.6074216,3,,,POINT (8.6074216 50.0571493)
525752,50.0375139,8.5960406,3,,,POINT (8.5960406 50.0375139)
525793,50.0534173,8.5977002,3,,,POINT (8.5977002 50.0534173)
525829,50.0521296,8.6199288,3,,,POINT (8.6199288 50.0521296)
525877,50.0558528,8.6485366,3,,,POINT (8.6485366 50.0558528)
525879,50.0621145,8.6501888,3,,,POINT (8.6501888 50.0621145)
525885,50.0622051,8.647847,3,,,POINT (8.647847 50.0622051)
525888,50.0613861,8.6478817,3,,,POINT (8.6478817 50.0613861)
525889,50.060899,8.6485076,3,,,POINT (8.6485076 50.060899)
525891,50.060991,8.6494362,3,,,POINT (8.6494362 50.060991)
525892,50.0614499,8.6499329,3,,,POINT (8.6499329 50.0614499)
525952,50.0495774,8.562444,3,,,POINT (8.562444 50.0495774)
544281,50.1222523,8.5829504,3,,,POINT (8.5829504 50.1222523)
544288,50.1332041,8.6177692,3,,,POINT (8.6177692 50.1332041)
544290,50.1345622,8.6166051,3,,,POINT (8.6166051 50.1345622)
544291,50.1322553,8.6118379,3,motorway_junction,20,POINT (8.6118379 50.1322553)
544304,50.1341575,8.6166736,3,,,POINT (8.6166736 50.1341575)
544306,50.1332199,8.6174896,3,,,POINT (8.6174896 50.1332199)
544460,50.1272804,8.5654075,3,,,POINT (8.5654075 50.1272804)
544497,50.2003062,8.6445511,3,,,POINT (8.6445511 50.2003062)
544501,50.2011037,8.6459379,3,,,POINT (8.6459379 50.2011037)
544508,50.2004949,8.6461488,3,,,POINT (8.6461488 50.2004949)
544571,50.1995561,8.6422003,3,,,POINT (8.6422003 50.1995561)
