element_type,osmid,access,amenity,fee,parking,geometry,created_by,capacity,capacity:disabled,capacity:parent,maxheight,name,opening_hours,operator,wheelchair,source,noexit,barrier,charge,layer,maxstay,capacity:women,operator:wikidata,operator:wikipedia,bicycle,foot,note,motorcar,park_ride,description,operator:type,surface,addr:street,addr:city,addr:country,addr:housenumber,addr:postcode,survey:date,covered,capacity:wheelchair,designation,highway,capacity:car,capacity:motorcycle,alt_name,traffic_sign,website,hgv,access:conditional,parking:orientation,nodes,supervised,building,building:facade:colour,building:levels,building:levels:underground,building:material,building:max_level,building:min_level,roof:colour,roof:levels,roof:shape,name:etymology:wikidata,toll,capacity:long,source:maxheight,lit,smoothness,source:position,height,check_date:opening_hours,toilets:wheelchair,landuse,location,nohousenumber,ref,unimainz:buildingId,capacity:charging,fixme,bridge,check_date:fee,tourist_bus,FIXME,orientation,parking:condition,ways,type
node,2140793789,yes,parking,"€ 1 per hour, € 3 max. per day, € 15 max. per week (7 days); contracts available @ € 60 per month",surface,POINT (8.2606701 49.9994068),,85,,,,Hauptbahnhof P2,,Contipark GmbH,,local_Knowledge,,,,,1 week; longer stays require explicit contract,,,,,,,,,,,,Alicenstraße,,,,,,,,Parkplatz Mainz Hbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2141459115,yes,parking,yes,underground,POINT (8.2600209 50.0030309),,445,,,,Bonifazius-Türme (HBF P3),,Parken in Mainz,,"local_knowledge, website",,,"€ 1.5 per hour, € 9 max. per day; 10% discount with debit payments",-1,no limit; for long-term rentals conditions may apply,,,,,,,,,,,,,,,,,,,yes,Parkhaus Bonifazius Türme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2175093802,private,parking,,surface,POINT (8.2399465 49.9935279),,,,,,,,Johannes Gutenberg-Universität Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2237838304,yes,parking,yes,surface,POINT (8.2723429 50.0007011),,11,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2410582071,private,parking,,surface,POINT (8.2844639 49.9839531),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2441255702,yes,parking,1 EUR / 30 min,underground,POINT (8.2617192 49.9927353),,540,,,,Parkhaus Augustusplatz,,PMG Parken in Mainz GmbH,,http://www.on-screen.de/pmg-mainz.de/index.php?ID=00000061,,,,-1,,,,,,,,,,,,,,,,,,,,yes,,,,,Parkhaus Uniklinik Augustusplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2454132134,yes,parking,yes,underground,POINT (8.2702332 49.9996908),,207,5,,1.8,Theater,24/7,Parken-in-Mainz GmbH,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2454132135,yes,parking,yes,underground,POINT (8.2809042 49.9958545),,,,,,Tiefgarage Fort-Malakoff-Park,,,yes,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2622338986,customers,parking,no,surface,POINT (8.253295 49.9472992),,,,,,,,,designated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2622338988,customers,parking,no,street_side,POINT (8.2524561 49.9477051),,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2622338991,customers,parking,no,street_side,POINT (8.2526763 49.9476275),,,7,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2622338993,customers,parking,no,street_side,POINT (8.2527061 49.9477426),,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2747537921,yes,parking,no,surface,POINT (8.2860285 49.9716366),,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2747537922,yes,parking,no,surface,POINT (8.2858492 49.9716834),,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3097129936,private,parking,,underground,POINT (8.2337701 49.9622949),,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4392730325,private,parking,,surface,POINT (8.2683442 49.9820239),,40,,,,,,Studierendenwerk Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4403868779,yes,parking,yes,underground,POINT (8.2742754 50.0025219),,145,,,1.8,Löhrstraße,24/7,Parken-in-Mainz GmbH,,,,,,-1,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5411044106,private,parking,,surface,POINT (8.2671231 49.9819477),,15,,,,,,Studierendenwerk Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7350495308,,parking,,underground,POINT (8.257399 49.9573814),,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8568706617,,parking,no,lane,POINT (8.3197143 49.9684248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8726358160,,parking,,street_side,POINT (8.2688099 50.0003524),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE:314,1044-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
