u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,tunnel,service,junction,width,access,est_width
529475,529477,0,138442448,True,2,L 419,trunk,50,False,75.682,"LINESTRING (8.2201712 49.9915506, 8.2199829 49.9915204, 8.2197784 49.9914911, 8.2197 49.9914897, 8.2196137 49.9914959, 8.2192995 49.9915573, 8.219143 49.9915827)",,Saarstraße,,,,,,
529475,256072691,0,"[629072265, 163136474]",True,1,,unclassified,50,False,89.65,"LINESTRING (8.2201712 49.9915506, 8.2199901 49.9915572, 8.2198263 49.9915656, 8.2196453 49.9915931, 8.2193346 49.9916594, 8.2191536 49.9916993, 8.2189612 49.9917422)",,,,,,,,
529477,256072691,0,163136471,True,1,,unclassified,50,False,21.987000000000002,"LINESTRING (8.219143 49.9915827, 8.219029 49.9916826, 8.2189612 49.9917422)",,Isaac-Fulda-Allee,,,,,,
529477,529478,0,931215665,True,2,,trunk,50,False,42.208999999999996,"LINESTRING (8.219143 49.9915827, 8.2190586 49.991592, 8.2189956 49.9915942, 8.2189327 49.9915909, 8.2188711 49.9915822, 8.2188119 49.9915682, 8.2187562 49.9915491, 8.218705 49.9915254, 8.2186593 49.9914974, 8.2186199 49.9914657)",,Europaplatz,,,roundabout,,,
529478,27362570,0,163136469,True,1,,trunk,50,False,59.21,"LINESTRING (8.2186199 49.9914657, 8.2185849 49.9914275, 8.218559 49.9913863, 8.218543 49.9913432, 8.2185371 49.991299, 8.2185414 49.9912547, 8.2185559 49.9912113, 8.2185802 49.9911697, 8.2186138 49.991131, 8.218656 49.9910958, 8.2187058 49.9910651, 8.2187372 49.9910499, 8.2188238 49.9910195)",,Europaplatz,,,roundabout,,,
529478,529479,0,163136506,True,2,L 419,trunk,100,False,55.224000000000004,"LINESTRING (8.2186199 49.9914657, 8.2182835 49.9912995, 8.2181329 49.9912426, 8.2179787 49.9911914)",,Saarstraße,,,,,,
529479,263022879,0,"[934230531, 934230532, 629072295, 187819381, 187819383]",True,"['2', '3']",L 419,trunk,"['60', '100', '80']",False,753.6229999999999,"LINESTRING (8.2179787 49.9911914, 8.2178396 49.991159, 8.2176756 49.9911323, 8.2167312 49.9909854, 8.2163338 49.9909237, 8.216221 49.9909067, 8.2132658 49.9904653, 8.208985 49.989875, 8.2076939 49.9897102)",yes,Saarstraße,,,,,,
529487,229430878,0,"[139012456, 629072290, 142918140]",True,"['1', '2']",L 419,trunk,"['60', '100']",False,370.238,"LINESTRING (8.2009413 49.9889178, 8.200573 49.9888279, 8.1999388 49.9886655, 8.1993111 49.9884782, 8.1988618 49.9883202, 8.1980826 49.9880383, 8.1977466 49.9879207, 8.1972216 49.987737, 8.1967965 49.9875936, 8.1962969 49.9874559)",,Kurmainzstraße,,,,,,
529487,662673,0,"[689756233, 4462738, 186812281]",True,1,L 419,"['motorway_link', 'trunk_link']","['100', '80']",False,696.952,"LINESTRING (8.2009413 49.9889178, 8.2003571 49.9888159, 8.1997252 49.9886945, 8.1990355 49.9885733, 8.1985365 49.988501, 8.198086 49.9884595, 8.1975657 49.9884284, 8.1969732 49.9884119, 8.1963748 49.9884181, 8.1958065 49.9884393, 8.1951977 49.9884972, 8.1946486 49.9885597, 8.1941091 49.9886505, 8.1935828 49.988769, 8.1930731 49.9889144, 8.1925833 49.9890858, 8.1921167 49.9892821, 8.1916762 49.989502)",,,,,,,,
529503,31237123,0,4847581,False,,,residential,30,True,111.392,"LINESTRING (8.2785825 49.9905172, 8.2785288 49.9904922, 8.2784657 49.9904629, 8.278403 49.9904338, 8.2772605 49.9899877)",,Ritterstraße,,,,,,
529503,530107,0,28403489,False,2,K 9,tertiary,50,True,122.77099999999999,"LINESTRING (8.2785825 49.9905172, 8.2786808 49.9904098, 8.2789408 49.9901709, 8.2791061 49.9899832, 8.2791512 49.9898643, 8.2791747 49.9897467, 8.2791439 49.9895163)",,Hechtsheimer Straße,,,,,,
529503,1193900103,0,"[103394976, 1044436589]",False,2,K 9,tertiary,50,False,28.723,"LINESTRING (8.2785825 49.9905172, 8.2784722 49.9906344, 8.278396 49.9907454)",,Salvatorstraße,,,,,,
529503,7673209911,0,821787079,False,2,,residential,30,True,10.376000000000001,"LINESTRING (8.2785825 49.9905172, 8.2786375 49.9905388, 8.2786792 49.9905552, 8.2787092 49.990562)",,Am Rosengarten,,,,,,
529570,255141628,0,23561994,False,,,living_street,,False,47.763000000000005,"LINESTRING (8.2720854 49.9958465, 8.2721698 49.9958979, 8.2724526 49.9962026)",,Heringsbrunnengasse,,,,,,
529570,264524961,0,"[24379492, 24379502]",False,,,residential,50,False,56.20000000000001,"LINESTRING (8.2720854 49.9958465, 8.2720162 49.9957928, 8.2719952 49.9957747, 8.271741 49.9955554, 8.2717221 49.9955441, 8.2716993 49.9955392, 8.2716745 49.9955419, 8.2716487 49.9955478, 8.2715898 49.99557, 8.2715505 49.995586)",,Fürstenbergerhofstraße,,,,,,
529570,529571,0,43311938,False,3,,tertiary,30,False,81.207,"LINESTRING (8.2720854 49.9958465, 8.2719617 49.9958745, 8.2718392 49.9959134, 8.271691 49.9959767, 8.2715537 49.9960539, 8.2714261 49.9961713, 8.2712861 49.996331)",,Weißliliengasse,,,,,,
529570,544292290,0,43311938,False,3,,tertiary,30,True,85.11699999999999,"LINESTRING (8.2720854 49.9958465, 8.272338 49.9957887, 8.2727214 49.995641, 8.2731305 49.995485)",,Weißliliengasse,,,,,,
529571,256325689,0,1105550437,False,2,,tertiary,30,False,33.891,"LINESTRING (8.2712861 49.996331, 8.2711681 49.9966262)",,Weißliliengasse,,,,,,
529571,264522706,0,23658481,False,,,residential,50,False,74.553,"LINESTRING (8.2712861 49.996331, 8.2712143 49.9962902, 8.2708763 49.9961361, 8.2708494 49.9961162, 8.2705268 49.9958776)",,Goldenbrunnengasse,,,,,,
529571,529570,0,43311938,False,3,,tertiary,30,True,81.207,"LINESTRING (8.2712861 49.996331, 8.2714261 49.9961713, 8.2715537 49.9960539, 8.271691 49.9959767, 8.2718392 49.9959134, 8.2719617 49.9958745, 8.2720854 49.9958465)",,Weißliliengasse,,,,,,
