element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
way,1133937089,,parking_space,,,,"POLYGON ((7.0014879 49.2340242, 7.0014979 49.2340205, 7.0015172 49.2340133, 7.0014832 49.2339737, 7.001454 49.2339846, 7.0014879 49.2340242))","[10571713547, 10571713548, 10571713543, 10571713505, 10571713504, 10571713547]",,1,normal
way,1133937090,,parking_space,,,,"POLYGON ((7.0018647 49.2339356, 7.0018926 49.2339251, 7.0018655 49.2338938, 7.0018588 49.2338861, 7.0018514 49.2338889, 7.0018307 49.2338966, 7.0018647 49.2339356))","[10571713509, 10571713485, 10571713480, 10571713483, 10571713506, 10571713508, 10571713509]",,1,normal
way,1133937091,,parking_space,,,,"POLYGON ((7.0018368 49.233946, 7.0018647 49.2339356, 7.0018307 49.2338966, 7.0018221 49.2338998, 7.0018025 49.2339071, 7.0018368 49.233946))","[10571713514, 10571713509, 10571713508, 10571713507, 10571713513, 10571713514]",,1,normal
way,1133937092,,parking_space,,,,"POLYGON ((7.0018089 49.2339565, 7.0018368 49.233946, 7.0018025 49.2339071, 7.0017928 49.2339107, 7.0017767 49.2339167, 7.0017743 49.2339176, 7.0018089 49.2339565))","[10571713515, 10571713514, 10571713513, 10571713512, 10571713511, 10571713510, 10571713515]",,1,normal
way,1133937093,,parking_space,,,,"POLYGON ((7.0017651 49.2339728, 7.0017944 49.2339619, 7.0017607 49.2339226, 7.0017485 49.2339272, 7.0017314 49.2339335, 7.0017651 49.2339728))","[10571713521, 10571713518, 10571713517, 10571713516, 10571713520, 10571713521]",,1,normal
way,1133937094,,parking_space,,,,"POLYGON ((7.0017359 49.2339838, 7.0017651 49.2339728, 7.0017314 49.2339335, 7.0017192 49.2339381, 7.0017022 49.2339444, 7.0017359 49.2339838))","[10571713526, 10571713521, 10571713520, 10571713519, 10571713525, 10571713526]",,1,normal
way,1133937095,,parking_space,,,,"POLYGON ((7.0017066 49.2339948, 7.0017359 49.2339838, 7.0017022 49.2339444, 7.0016899 49.233949, 7.0016766 49.233954, 7.0016718 49.2339558, 7.0017066 49.2339948))","[10571713527, 10571713526, 10571713525, 10571713524, 10571713523, 10571713522, 10571713527]",,1,normal
way,1133937096,,parking_space,,,,"POLYGON ((7.0016634 49.2340109, 7.0016927 49.234, 7.0016578 49.233961, 7.0016473 49.2339649, 7.0016285 49.2339719, 7.0016634 49.2340109))","[10571713533, 10571713530, 10571713529, 10571713528, 10571713532, 10571713533]",,1,normal
way,1133937097,,parking_space,,,,"POLYGON ((7.0016342 49.2340219, 7.0016634 49.2340109, 7.0016285 49.2339719, 7.001618 49.2339758, 7.0015992 49.2339828, 7.0016342 49.2340219))","[10571713538, 10571713533, 10571713532, 10571713531, 10571713537, 10571713538]",,1,normal
way,1133937098,,parking_space,,,,"POLYGON ((7.0016049 49.2340328, 7.0016342 49.2340219, 7.0015992 49.2339828, 7.0015887 49.2339867, 7.0015758 49.2339915, 7.001571 49.2339933, 7.0016049 49.2340328))","[10571713539, 10571713538, 10571713537, 10571713536, 10571713535, 10571713534, 10571713539]",,1,normal
