element_type,osmid,amenity,capacity:disabled,description,parking_space,wheelchair,geometry,surface,traffic_sign,access,capacity:charging,access:disabled,capacity:short,maxlength,capacity:parent,capacity:women,layer,level,capacity,level:ref,ref,emergency,source,capacity:car_sharing,name,nodes,parking,parking:disabled,building,ref:permit,lit,fee,opening_hours,smoothness,supervised,capacity:disabled:conditional,parking:orientation,fire_service,maxstay:conditional,doctor,start_date,note,hgv,access:description,capacity:trailer,covered,customers,operator,fee:conditional,maxstay,capacity:private,access:conditional,capacity:taxi,taxi,vehicle,disabled,fixme,noref,tourist_bus,capacity:hgv,parking:fee,surface:colour,parking_space:conditional
node,6019045349,parking_space,,Sick SVD,,,POINT (8.442029 49.0224659),paving_stones,,private,,,,,,,,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045350,parking_space,,Sick SVD,,,POINT (8.4420507 49.0224929),paving_stones,,private,,,,,,,,,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045351,parking_space,,Sick SVD,,,POINT (8.4420724 49.0225199),paving_stones,,private,,,,,,,,,1,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045352,parking_space,,Sick SVD,,,POINT (8.4420941 49.022547),paving_stones,,private,,,,,,,,,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045353,parking_space,,,,,POINT (8.4422247 49.0225649),paving_stones,,private,,,,,,,,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6412167712,parking_space,,Krankentransporte,,,POINT (8.4447634 49.034188),,,private,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6416952076,parking_space,1,Behindertenparkplatz nur für spezielle Ausweisnummer,disabled,,POINT (8.4406201 49.0159053),,,private,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7006275274,parking_space,,reserviert für Hertz,,,POINT (8.4053805 48.992957),,,no,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7040984427,parking_space,1,Behindertenparkplatz an Ausfahrt Markgrafenstraße,disabled,,POINT (8.410786 49.0080519),,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7040984428,parking_space,,,parent,,POINT (8.4106857 49.008357),,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7057899952,parking_space,1,,disabled,,POINT (8.3918736 49.0100791),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7057899953,parking_space,2,,disabled,,POINT (8.392398 49.0100466),,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7997567111,parking_space,1,,disabled,,POINT (8.4423487 49.0037462),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8331319963,parking_space,,,motorcycle,,POINT (8.4296269 49.0080857),,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9050929388,parking_space,,,disabled,,POINT (8.4271689 49.0095268),,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9053310973,parking_space,,,disabled,,POINT (8.4807761 48.9475485),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9063065033,parking_space,,,disabled,,POINT (8.4794699 48.9673592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9063065034,parking_space,,,disabled,,POINT (8.4794484 48.9673786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867193,parking_space,,,,,POINT (8.4216622 49.0198151),,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867194,parking_space,,,,,POINT (8.4216763 49.0197827),,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867195,parking_space,,,,,POINT (8.4216815 49.0197609),,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867196,parking_space,,,,,POINT (8.4216864 49.0197402),,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867197,parking_space,,,,,POINT (8.4216911 49.0197202),,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867198,parking_space,,,,,POINT (8.421696 49.0196996),,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867199,parking_space,,,,,POINT (8.4217008 49.0196796),,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867200,parking_space,,,,,POINT (8.4217054 49.0196598),,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867201,parking_space,,,,,POINT (8.4217093 49.0196436),,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867202,parking_space,,,,,POINT (8.4217138 49.0196244),,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867203,parking_space,,,,,POINT (8.4217184 49.0196052),,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867204,parking_space,,,,,POINT (8.4217226 49.0195873),,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867205,parking_space,,,,,POINT (8.421558 49.019751),,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867206,parking_space,,,,,POINT (8.4215629 49.0197303),,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867207,parking_space,,,,,POINT (8.4215676 49.0197103),,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867208,parking_space,,,,,POINT (8.4215725 49.0196898),,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867209,parking_space,,,,,POINT (8.4215773 49.0196697),,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867210,parking_space,,,,,POINT (8.421582 49.01965),,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867211,parking_space,,,,,POINT (8.4215858 49.0196337),,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867212,parking_space,,,,,POINT (8.4215904 49.0196145),,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867213,parking_space,,,,,POINT (8.4215947 49.0195963),,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9848867214,parking_space,,,,,POINT (8.4215992 49.0195774),,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
