osmid,y,x,ref,highway,street_count,geometry
9310834597,49.0097349,8.4357473,,,1,POINT (8.4357473 49.0097349)
9312217919,49.0086603,8.4430841,,,3,POINT (8.4430841 49.0086603)
9312217920,49.0089375,8.4425949,,,1,POINT (8.4425949 49.0089375)
9312429390,49.0258817,8.3889798,,,1,POINT (8.3889798 49.0258817)
9312433707,49.009093,8.4689215,,,1,POINT (8.4689215 49.009093)
9312858580,49.0066462,8.4299184,,,3,POINT (8.4299184 49.0066462)
9312858584,49.0070108,8.4300796,,,1,POINT (8.4300796 49.0070108)
9312858585,49.0072972,8.430202,,,1,POINT (8.430202 49.0072972)
9312858586,49.0073703,8.4302346,,,3,POINT (8.4302346 49.0073703)
9313103405,48.9944301,8.4872249,,,3,POINT (8.4872249 48.9944301)
9313103406,48.9947134,8.4871824,,,1,POINT (8.4871824 48.9947134)
9313103408,48.9945828,8.486573,,,1,POINT (8.486573 48.9945828)
9327186713,49.0064231,8.4288552,,,1,POINT (8.4288552 49.0064231)
9330153068,48.99222,8.3285999,,,3,POINT (8.3285999 48.99222)
9330153069,48.9927612,8.3289855,,,1,POINT (8.3289855 48.9927612)
9335224505,48.9945784,8.4930026,,,3,POINT (8.4930026 48.9945784)
9335224506,48.9947437,8.4931552,,,1,POINT (8.4931552 48.9947437)
9350394349,49.0566853,8.3310847,,,3,POINT (8.3310847 49.0566853)
9350394350,49.0558843,8.3329804,,,3,POINT (8.3329804 49.0558843)
9350394351,49.0555143,8.3326178,,,3,POINT (8.3326178 49.0555143)
9350394401,49.0566108,8.3326717,,,3,POINT (8.3326717 49.0566108)
9353376667,49.0054285,8.4060816,,,3,POINT (8.4060816 49.0054285)
9353440744,49.010055,8.4237491,,,3,POINT (8.4237491 49.010055)
