u,v,key,osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,width,access,service,bridge,junction,tunnel
20833769,626533889,0,49333295,False,,,service,True,15.487,,"LINESTRING (6.6683148 49.7562266, 6.6682067 49.7563471)",,,,,,,
20833769,626976908,0,1041636626,False,2,Max-Planck-Straße,residential,False,22.586,30,"LINESTRING (6.6683148 49.7562266, 6.6680451 49.7561222)",,,,,,,
20833769,20833771,0,"[1041636626, 1041636630]",False,2,Max-Planck-Straße,residential,True,68.754,30,"LINESTRING (6.6683148 49.7562266, 6.6686356 49.7563469, 6.6687481 49.7563899, 6.6688795 49.756431, 6.6690338 49.7564709, 6.6691698 49.7565)",,6,,,,,
20833771,626533913,0,49333300,False,,,service,True,16.357,,"LINESTRING (6.6691698 49.7565, 6.6690901 49.7566378)",,,,,,,
20833771,303965098,0,49366289,False,,Max-Planck-Straße,residential,True,30.57,50,"LINESTRING (6.6691698 49.7565, 6.6692698 49.7565211, 6.6694321 49.7565467, 6.6695827 49.7565652)",,,,,,,
20833771,20833769,0,"[1041636626, 1041636630]",False,2,Max-Planck-Straße,residential,False,68.754,30,"LINESTRING (6.6691698 49.7565, 6.6690338 49.7564709, 6.6688795 49.756431, 6.6687481 49.7563899, 6.6686356 49.7563469, 6.6683148 49.7562266)",,6,,,,,
20833778,5756148219,0,388702611,False,3,Olewiger Straße,secondary,False,33.789,50,"LINESTRING (6.6445065 49.7482482, 6.6443542 49.7482765, 6.6440555 49.7483343)",L 143,,,,,,
20833778,132280258,0,"[1160688312, 484936172]",False,2,Olewiger Straße,secondary,True,45.581,30,"LINESTRING (6.6445065 49.7482482, 6.6447987 49.7481939, 6.6450011 49.7481351, 6.6450971 49.7481025)",L 143,,,,,,
20833778,5448682055,0,565869547,False,,Charlottenstraße,residential,True,40.352000000000004,30,"LINESTRING (6.6445065 49.7482482, 6.6445533 49.748305, 6.6447708 49.7485684)",,,,,,,
20833779,20833780,0,6073374,True,2,,secondary,False,37.786,50,"LINESTRING (6.6439324 49.7483572, 6.643779 49.748404, 6.6436688 49.748461, 6.643521 49.748562)",L 143,,,,,,
20833779,5756148219,0,388702611,False,3,Olewiger Straße,secondary,True,9.204,50,"LINESTRING (6.6439324 49.7483572, 6.6439946 49.7483463, 6.6440555 49.7483343)",L 143,,,,,,
20833780,20833781,0,43176480,True,2,,secondary,False,18.758,50,"LINESTRING (6.643521 49.748562, 6.6433758 49.7487022)",L 143,,,,,,
20833780,1405790813,0,"[45547001, 315151874, 45547069, 113858439]",True,"['1', '2']",,secondary,False,175.761,50,"LINESTRING (6.643521 49.748562, 6.6435449 49.7486299, 6.6435755 49.7487218, 6.6436607 49.7489556, 6.6437726 49.749378, 6.6438009 49.749587, 6.6438204 49.7497755, 6.6438306 49.7499094, 6.6438335 49.7499468, 6.6438647 49.7501237)",L 145,,,,yes,,
20833781,20833782,0,"[509810521, 327810021, 113858413]",True,2,,secondary,False,49.207,50,"LINESTRING (6.6433758 49.7487022, 6.6433245 49.7487625, 6.6432836 49.7488018, 6.6432333 49.7488401, 6.6431771 49.7488746, 6.6430997 49.7489173, 6.6430678 49.74893, 6.643019 49.7489441, 6.6429803 49.7489557, 6.6429355 49.7489675, 6.6428744 49.7489838)",L 143,,,,yes,,
20833782,130518145,0,4956001,True,2,Kaiserstraße,secondary,False,22.587,50,"LINESTRING (6.6428744 49.7489838, 6.6427198 49.7490131, 6.6425701 49.7490343)",L 143,,,,,,
20833782,20833784,0,"[5583928, 327784632, 327810022]",True,2,,secondary,False,57.264,50,"LINESTRING (6.6428744 49.7489838, 6.642809 49.7489432, 6.6427317 49.7488967, 6.6426581 49.7488478, 6.6426017 49.7487951, 6.6425553 49.7487386, 6.6425196 49.748679, 6.6424949 49.748617, 6.6424817 49.7485536)",L 145,,,,,,
20833784,20833785,0,44178374,True,2,,secondary,False,22.192,50,"LINESTRING (6.6424817 49.7485536, 6.6425197 49.7484284, 6.6425563 49.7483604)",L 143,,,,yes,,
20833785,20834540,0,"[904660082, 47048340]",True,1,Spitzmühle,tertiary,False,153.531,"['30', '50']","LINESTRING (6.6425563 49.7483604, 6.6425603 49.7483158, 6.6425842 49.7482401, 6.6426277 49.7481529, 6.6429154 49.7477359, 6.6432111 49.7473215, 6.6433132 49.7471657, 6.6433555 49.7470851)",,,,,,,
20833785,20833787,0,"[44180553, 550480467]",True,"['1', '2']",,secondary,False,57.084999999999994,50,"LINESTRING (6.6425563 49.7483604, 6.6426187 49.7483105, 6.6426954 49.7482699, 6.6427833 49.7482402, 6.6428788 49.7482226, 6.6429777 49.748218, 6.6430761 49.7482264, 6.6431697 49.7482476, 6.6432562 49.74828)",L 143,,,,,,
20833787,20833779,0,6073376,True,1,,secondary,False,49.718999999999994,50,"LINESTRING (6.6432562 49.74828, 6.6434204 49.7483167, 6.6435871 49.7483438, 6.6437579 49.7483561, 6.6439324 49.7483572)",L 143,,,,,,
20833787,20833780,0,44178373,True,2,,secondary,False,37.084999999999994,50,"LINESTRING (6.6432562 49.74828, 6.6433707 49.7483618, 6.6434582 49.748458, 6.643521 49.748562)",L 143,,,,,,
20833787,20833781,0,509810522,True,2,,secondary,False,49.068,50,"LINESTRING (6.6432562 49.74828, 6.6433058 49.7483343, 6.6433453 49.748392, 6.6433806 49.7484714, 6.6433915 49.7485144, 6.6433977 49.7485774, 6.6433924 49.7486403, 6.6433758 49.7487022)",L 143,,,,,,
20833790,5060319394,0,5583923,True,2,Ostallee,secondary,False,87.05799999999999,50,"LINESTRING (6.6439913 49.7504129, 6.644113 49.7505446, 6.6441233 49.7505558, 6.6442266 49.7506665, 6.6443168 49.7507671, 6.6443778 49.7508356, 6.6445136 49.7509938, 6.6445905 49.7510931)",L 145,,,,,,
20833799,130518145,0,13883181,True,2,,secondary,False,139.64399999999998,50,"LINESTRING (6.6435261 49.7499935, 6.6434675 49.7497009, 6.6434415 49.749558, 6.643388 49.7494535, 6.6433317 49.7493695, 6.643266 49.7493072, 6.6431193 49.749195, 6.6429686 49.749126, 6.6428383 49.7490888, 6.6425701 49.7490343)",L 145,,,,,,
20833799,20833782,0,175278408,True,2,Weimarer Allee,secondary,False,131.156,50,"LINESTRING (6.6435261 49.7499935, 6.6435245 49.7496394, 6.6435079 49.7494806, 6.6434342 49.7493246, 6.6432825 49.7491903, 6.6431814 49.7491194, 6.6431218 49.7490884, 6.6430372 49.7490526, 6.6428744 49.7489838)",L 145,,,,,,
20833802,318305756,0,13994950,True,2,Weimarer Allee,secondary,False,11.898,,"LINESTRING (6.6462625 49.7536988, 6.6462241 49.7536334, 6.646204 49.7535987)",L 145,,,,,,
20833802,315003663,0,28950609,True,,Mustorstraße,residential,False,18.331,,"LINESTRING (6.6462625 49.7536988, 6.6462201 49.7537096, 6.646159 49.7537265, 6.6461101 49.7537417, 6.6460321 49.7537692)",,,,,,,
20833853,3364474760,0,329559521,False,,,service,False,50.263,,"LINESTRING (6.6677013 49.7635988, 6.6677709 49.763523, 6.6678223 49.7634483, 6.6679966 49.7632404, 6.667935 49.7632179)",,,,alley,,,
20833853,3364354803,0,740847495,False,2,Avelsbacher Straße,secondary,False,30.44,50,"LINESTRING (6.6677013 49.7635988, 6.667447 49.7636048, 6.6672777 49.7636073)",L 144,,,,,,
