element_type,osmid,amenity,capacity,check_date,geometry,parking_space,nodes,parking
way,974356964,parking_space,,,"POLYGON ((6.677271 49.748519, 6.6772528 49.7485383, 6.677312 49.7485616, 6.6773302 49.7485423, 6.677271 49.748519))",,"[9017324326, 9017324325, 9017324324, 9017324327, 9017324326]",
way,974356965,parking_space,,,"POLYGON ((6.6773011 49.7486883, 6.6772832 49.7487073, 6.6773409 49.74873, 6.6773588 49.7487109, 6.6773011 49.7486883))",,"[9017324331, 9017324342, 9017324343, 9017324330, 9017324331]",
way,974356966,parking_space,,,"POLYGON ((6.6773191 49.7486692, 6.6773011 49.7486883, 6.6773588 49.7487109, 6.6773767 49.7486919, 6.6773191 49.7486692))",,"[9017324333, 9017324331, 9017324330, 9017324332, 9017324333]",
way,974356967,parking_space,,,"POLYGON ((6.677337 49.7486502, 6.6773191 49.7486692, 6.6773767 49.7486919, 6.6773946 49.7486728, 6.677337 49.7486502))",,"[9017324335, 9017324333, 9017324332, 9017324334, 9017324335]",
way,974356968,parking_space,,,"POLYGON ((6.6773549 49.7486311, 6.677337 49.7486502, 6.6773946 49.7486728, 6.6774126 49.7486538, 6.6773549 49.7486311))",,"[9017324337, 9017324335, 9017324334, 9017324336, 9017324337]",
way,974356969,parking_space,,,"POLYGON ((6.6773728 49.7486121, 6.6773549 49.7486311, 6.6774126 49.7486538, 6.6774305 49.7486347, 6.6773728 49.7486121))",,"[9017324339, 9017324337, 9017324336, 9017324338, 9017324339]",
way,974356970,parking_space,,,"POLYGON ((6.6773908 49.748593, 6.6773728 49.7486121, 6.6774305 49.7486347, 6.6774484 49.7486157, 6.6773908 49.748593))",,"[9017324341, 9017324339, 9017324338, 9017324340, 9017324341]",
way,974356971,parking_space,,,"POLYGON ((6.6774087 49.748574, 6.6773908 49.748593, 6.6774484 49.7486157, 6.6774663 49.7485966, 6.6774087 49.748574))",,"[9017324345, 9017324341, 9017324340, 9017324344, 9017324345]",
way,974356973,parking_space,,,"POLYGON ((6.6750364 49.7481845, 6.6750044 49.7481718, 6.6749735 49.7482043, 6.6750055 49.748217, 6.6750364 49.7481845))",disabled,"[9017324350, 9017324387, 9017324388, 9017324349, 9017324350]",
way,974356974,parking_space,,,"POLYGON ((6.6750648 49.7481957, 6.6750364 49.7481845, 6.6750055 49.748217, 6.6750339 49.7482283, 6.6750648 49.7481957))",,"[9017324352, 9017324350, 9017324349, 9017324351, 9017324352]",
